SMILES,Max_Tanimoto_Similarity
ClCC(Cl)(Cl)Cl,0.375
CC(Cl)(Cl)Cl,0.45454545454545453
ClC(Cl)C(Cl)Cl,0.5
ClCC(Cl)Cl,0.5
FC(F)(Cl)C(F)(Cl)Cl,0.6666666666666666
CC(Cl)Cl,0.8333333333333334
ClC(=C)Cl,0.375
CCOC(C)OCC,0.4
Clc1ccc(Cl)c(Cl)c1Cl,0.7142857142857143
C1CCc2ccccc2C1,0.8571428571428571
Clc1cc(Cl)c(Cl)c(Cl)c1,0.6428571428571429
Clc1cccc(Cl)c1Cl,0.6875
Cc1cccc(C)c1C,0.5714285714285714
Brc1cc(Br)c(Br)cc1Br,0.5
Clc1cc(Cl)c(Cl)cc1Cl,0.6666666666666666
Cc1cc(C)c(C)cc1C,0.5833333333333334
c1(Br)c(Br)cc(Br)cc1,0.5
Clc1ccc(Cl)c(Cl)c1,0.5909090909090909
Cc1ccc(C)c(C)c1,0.55
Oc1ccccc1O,0.5384615384615384
Brc1ccccc1Br,0.5625
BrCCBr,0.5
Clc1ccccc1Cl,0.6428571428571429
ClCCCl,0.5
CC(Cl)CCl,0.5833333333333334
FC(F)(Cl)C(F)(F)Cl,0.6666666666666666
CCOCCOCC,0.6923076923076923
CCc1ccccc1CC,0.6666666666666666
O=N(=O)c1ccccc1N(=O)=O,0.7
CC1CO1,0.4117647058823529
Brc1cc(Br)cc(Br)c1,0.5384615384615384
Clc1cc(Cl)cc(Cl)c1,0.6363636363636364
Cc1cc(C)cc(C)c1,0.6153846153846154
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,0.6666666666666666
Oc1cccc(O)c1,0.6111111111111112
C=CC=C,0.4444444444444444
Brc1cccc(Br)c1,0.6470588235294118
Clc1cccc(Cl)c1,0.6470588235294118
ClCCCCl,0.5
CCNC(=S)NCC,0.2857142857142857
Fc1cccc(F)c1,0.6111111111111112
Cc1cc(C)c2ccccc2c1,0.5769230769230769
O=N(=O)c1cccc(c1)N(=O)=O,0.6956521739130435
Oc1ccc(O)cc1,0.6153846153846154
C1C=CCC=C1,0.2727272727272727
Brc1ccc(Br)cc1,0.6666666666666666
Clc1ccc(Cl)cc1,0.7272727272727273
CCc1ccc(CC)cc1,0.7333333333333333
Fc1ccc(F)cc1,0.5833333333333334
Cc1ccc(C)c2ccccc12,0.7333333333333333
O=N(=O)c1ccc(cc1)N(=O)=O,0.7222222222222222
C=CCC=C,0.45454545454545453
Cc1cccc2c(C)cccc12,0.7333333333333333
C=CCCC=C,0.5384615384615384
c1cnc2c(c1)ccc3ncccc23,0.5
CC12CCC(CC1)C(C)(C)O2,1.0
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0.7441860465116279
Nc2cccc3nc1ccccc1cc23 ,0.5833333333333334
CC(C)CBr,0.4166666666666667
CCCCBr,0.75
CCCCCCCBr,1.0
CCCCCCBr,1.0
Brc1cccc2ccccc12,0.6
CCCCCCCCBr,1.0
CCCCCBr,0.9166666666666666
CCCBr,0.6363636363636364
CCCCO,0.7692307692307693
CCC=C,0.5384615384615384
CCC#C,0.5
ClCCBr,0.5555555555555556
ClCC(C)C,0.5833333333333334
CCCCCl,0.7692307692307693
CCCCCCCCl,1.0
CCCCCCCl,1.0
Clc1cccc2ccccc12,0.5454545454545454
CCCCCCl,0.9230769230769231
CCCCl,0.5833333333333334
CCCCCCCCCCO,1.0
CCCCCCCCC=C,1.0
CCCCCCCCCCCCO,1.0
CCc1cccc2ccccc12,0.6
CCCCCCCO,1.0
CCCCCC=C,0.9375
CCCCCC#C,0.9375
CCCCCCCCCCCCCCCCO,1.0
CCCCCCO,1.0
CCCCC=C,0.8125
CCCC(O)C=C,0.42105263157894735
CCCCC#C,0.8125
CCCCI,0.7142857142857143
CCCCCCCI,0.7142857142857143
Ic1cccc2ccccc12,0.5263157894736842
CCCI,0.5833333333333334
CC1=CCCCC1,0.3235294117647059
Cc1cccc2c1Cc3ccccc32,0.5416666666666666
Cc1cccc2ccccc12,0.7272727272727273
Cc1cccc2c1ccc3ccccc32,0.7272727272727273
Cn1ccc(=O)[nH]c1=O,0.40625
Oc1cccc2ccccc12,0.6
Nc1cccc2ccccc12,0.5454545454545454
O=N(=O)c1cccc2ccccc12,0.6086956521739131
CCCN(=O)=O,0.5625
CCCCCCCCCO,1.0
CCCCCCCC=C,1.0
CCCCCCCC#C,1.0
CCCCCCCCCCCCCCCCCCO,1.0
CCCCCCCCO,1.0
CCCCCCC=C,1.0
CCCCCCC#C,1.0
CCCCCCCCCCCCCCCO,1.0
CCCCCO,0.9230769230769231
CCCC=C,0.625
CCCC#C,0.625
CC(O)c1ccccc1,0.5789473684210527
CCCO,0.5833333333333334
CCCCCCCCCCCCCCO,1.0
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,0.42857142857142855
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,0.6666666666666666
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,0.7142857142857143
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,0.6428571428571429
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,0.6666666666666666
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,0.7142857142857143
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,0.7083333333333334
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,0.7727272727272727
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,0.6923076923076923
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,0.7142857142857143
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,0.7083333333333334
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,0.7727272727272727
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,0.6521739130434783
CC(C)C(C)(C)C,0.5
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl ,0.6666666666666666
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,0.6875
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,0.6666666666666666
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,0.75
CC(C)CC(C)(C)C,0.5294117647058824
CC(C)CCC(C)(C)C,0.4444444444444444
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,0.75
CCC(C)(C)CO,0.6153846153846154
CCC(C)(C)C,0.5454545454545454
CCCC(C)(C)C,0.5
CCCC(C)(C)CO,0.5882352941176471
CC(C)(C)CO,0.5454545454545454
Clc1ccccc1c2ccccc2Cl ,0.6666666666666666
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ,0.5652173913043478
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,0.5909090909090909
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,0.72
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,0.72
Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,0.5714285714285714
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,0.7391304347826086
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,0.5882352941176471
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,0.6666666666666666
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,1.0
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,1.0
Oc1ccc(Cl)c(Cl)c1Cl,0.625
CC(C)C(C)C(C)C,0.5
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,0.6666666666666666
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,0.6538461538461539
Oc1cc(Cl)cc(Cl)c1Cl,0.6111111111111112
Oc1c(Cl)ccc(Cl)c1Cl,0.5625
O=N(=O)c1c(Cl)c(Cl)ccc1,0.68
Oc1cccc(Cl)c1Cl,0.6470588235294118
CC(=C)C(=C)C,0.625
CC(C)C(C)C,0.5714285714285714
Cc1cc2ccccc2cc1C,0.6
CCC(C)C(C)C,0.5
Cc1cccnc1C,0.42105263157894735
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,1.0
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,1.0
Oc1cc(Cl)c(Cl)cc1Cl,0.5714285714285714
Clc1ccc(cc1)c2c(Cl)cccc2Cl ,0.6666666666666666
Oc1c(Cl)cc(Cl)cc1Cl,0.6666666666666666
Cc1cc(C)c(O)c(C)c1,0.5
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,0.6071428571428571
Oc1ccc(Cl)cc1Cl,0.55
CC(C)CC(C)(C)O,0.5294117647058824
CC(C)C(O)C(C)C,0.5454545454545454
CC(C)C(=O)C(C)C,0.5384615384615384
CC(C)CC(C)C,0.5384615384615384
Cc1ccc(O)c(C)c1,0.55
Cc1ccnc(C)c1,0.38095238095238093
Cc1ccc(cc1N(=O)=O)N(=O)=O,0.5925925925925926
Clc1ccc(cc1)c2ccccc2Cl ,1.0
Clc1ccc(cc1)c2ccccc2Cl ,1.0
Oc1c(Cl)cccc1Cl,0.625
Cc1ccc2cc(C)ccc2c1,0.7647058823529411
Cc1cccc(C)c1O,0.5555555555555556
Cc1cccc(C)n1,0.3888888888888889
Cc1c(cccc1N(=O)=O)N(=O)=O,0.625
Clc1cccc(Cl)c1c2ccccc2 ,0.6666666666666666
c2c(C)cc1nc(C)ccc1c2 ,0.5
Nc3ccc2cc1ccccc1cc2c3 ,0.6470588235294118
c1c(Br)ccc2ccccc12 ,1.0
Brc1ccc2ccccc2c1,1.0
CC(C)Br,0.42857142857142855
Cc1ccccc1Br,0.5625
CCC(=O)C,0.5384615384615384
CC=CC=O,1.0
CCCCOCCO,0.7058823529411765
CCC(C)(C)Cl,0.5833333333333334
COc1ccccc1Cl,0.5217391304347826
Clc1ccccc1c2ccccc2,0.7142857142857143
CCC(C)Cl,0.5384615384615384
Clc1ccc2ccccc2c1,0.5454545454545454
Oc1ccccc1Cl,0.6
CC(C)Cl,0.8333333333333334
Cc1ccccc1Cl,0.5625
NC(N)=NC#N ,0.22727272727272727
CCCCCCCCC(=O)C,1.0
CCc1ccccn1,0.4
CCC(CC)CO,0.5789473684210527
CCCCC(CC)CO,0.5789473684210527
CCCC=C(CC)C=O,0.4090909090909091
CCC(CC)C=O,0.6
CCCCC(CC)C=O,0.6
CCc1ccc2ccccc2c1,0.5
CCc1ccccc1C,0.6666666666666666
CCCCCC(C)O,0.9375
CCCCCC(=O)C,0.9411764705882353
CCCCC(C)O,0.8125
CCCCC(=O)C,0.8235294117647058
Oc2ncc1nccnc1n2,0.5555555555555556
Oc1ccccn1,0.4
CC(C)I,0.5714285714285714
CC(C)c1ccccc1C,0.5
COc2ncc1nccnc1n2,0.5517241379310345
CC=C(C)C,0.3076923076923077
CC(=C)C=C,0.45454545454545453
CCC(=C)C,0.5333333333333333
CCCC(=C)C,0.5333333333333333
CCCCCC(C)(C)O,0.8235294117647058
CCCCC(C)(C)O,0.8235294117647058
CCCC(C)(C)O,0.6470588235294118
CCC(O)C(C)C,0.5333333333333333
Cc1ccc2cc3ccccc3cc2c1,0.8421052631578947
CCC(C)(C)O,0.5833333333333334
CCC(C)C,0.5454545454545454
CCC(C)CO,0.5714285714285714
CCCCCC(C)C,0.6111111111111112
Cc1ccc2ccccc2c1,0.8421052631578947
CCCC(C)C,0.5625
CCCC(C)CO,0.5555555555555556
Cc1ccc2c(ccc3ccccc32)c1,0.6521739130434783
Cc1ccccc1O,0.6
CC(C)CO,0.5
CC(C)C,0.5
CC(=C)C,0.625
Cc2ncc1nccnc1n2,0.5555555555555556
CC1CCCO1,0.4117647058823529
Oc1ccc2ccccc2c1,0.5
CC(C)N(=O)=O,0.4666666666666667
CCCCCCCC(C)O,1.0
CCCCCCCC(=O)C,1.0
CCCCCCC(C)O,1.0
CCCCCCC(=O)C,1.0
CCCC(C)O,0.625
CCCC(=O)C,0.6470588235294118
OCCOc1ccccc1,0.5217391304347826
CC(C)O,0.5555555555555556
O=C1CCCN1,0.3684210526315789
CCCCCCCCCC(C)O,1.0
CC(C)(C)CCO,0.5
CC(O)C(C)(C)C,0.5
CC(=O)C(C)(C)C,0.38461538461538464
CCC(C)(C)CC,0.6153846153846154
O=N(=O)c1cc(Cl)c(Cl)cc1,0.56
Oc1ccc(Cl)c(Cl)c1,0.5
Cc1ccc(O)cc1C,0.5
Cc1ccncc1C,0.375
Clc1ccc(cc1Cl)c2ccccc2 ,0.5416666666666666
Oc1cc(Cl)cc(Cl)c1,0.5833333333333334
Cc1cc(C)cc(O)c1,0.6153846153846154
Cc1cncc(C)c1,0.5
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,0.8809523809523809
COc1cccc(Cl)c1,0.5238095238095238
c1c(Cl)cccc1c2ccccc2,0.5789473684210527
Oc1cccc(Cl)c1,0.6111111111111112
ClCCC#N ,0.5
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,0.775
CCC(O)(CC)CC,0.5
CCCCC(O)CC,0.8235294117647058
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1.0
CCCC(O)CC,0.7142857142857143
CCCC(=O)CC,0.7333333333333333
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,0.9761904761904762
CCC#CCC,0.4166666666666667
CC(C)C=C,0.36363636363636365
CC(C)C(C)O,0.5555555555555556
CC(C)C(=O)C,0.5384615384615384
CCC(C)CCO,1.0
CCC(C)CCO,1.0
CCC(C)C(=O)C,0.47058823529411764
CCCCC(C)(O)CC,0.6666666666666666
CCCC(C)(O)CC,0.6666666666666666
CCC(C)(O)CC,0.6
CC(C)CCO,0.625
c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,0.7222222222222222
CCCCC(C)CC,0.5263157894736842
Cc1c[nH]c2ccccc12 ,0.43478260869565216
CCC(C)CC,0.5714285714285714
Cc1cccc(O)c1,0.6111111111111112
CCCCCC(O)CC,0.8235294117647058
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1.0
CCC(O)CC,0.6428571428571429
CCC(=O)CC,0.6
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,0.9285714285714286
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,0.8292682926829268
Clc1ccc(cc1)c2ccc(Cl)cc2 ,0.7272727272727273
Oc1ccc(Br)cc1,0.6153846153846154
Cc1ccc(Br)cc1,0.6153846153846154
COc1ccc(Cl)cc1,0.5
Oc1ccc(Cl)cc1,0.6153846153846154
Cc1ccc(Cl)cc1,0.6153846153846154
CCc1ccc(C)cc1,0.7333333333333333
CCCC(O)CCC,0.7142857142857143
CCCC(=O)CCC,0.7333333333333333
c1(O)cc(O)ccc1CCCCCC,0.3939393939393939
Oc1ccncc1,0.5
CC(C)c1ccc(C)cc1,0.5333333333333333
COc1ncnc2nccnc12 ,0.5357142857142857
CC(C)CC(C)O,0.5384615384615384
CC(C)CC(=O)C,0.4117647058823529
Cc1ccc(cc1)c2ccccc2,0.7142857142857143
CC(C)CCCO,0.625
Cc1ncnc2nccnc12,0.5357142857142857
CC(=O)Nc1ccc(cc1)N(=O)=O,0.5416666666666666
OCCCC=C,0.47368421052631576
O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,0.6129032258064516
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,0.6333333333333333
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,0.76
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,0.6086956521739131
O=C1NC(=O)NC(=O)C1(C)C,0.5238095238095238
Oc2ccc1CCCCc1c2 ,0.45454545454545453
Cc1c(C)c2c3ccccc3ccc2c4ccccc14,0.7307692307692307
O=C1NC(=O)NC(=O)C1(CC)CC=C,0.76
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,0.6896551724137931
O=C1NC(=O)NC(=O)C1(C)CC=C,0.6153846153846154
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,0.65625
O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,1.0
O=C1NC(=O)NC(=O)C1(CC)C(C)C,1.0
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,1.0
Fc1c[nH]c(=O)[nH]c1=O ,0.52
Oc1cccc2ncccc12 ,0.4827586206896552
O=C1NC(=O)NC(=O)C1(C)CC,0.5909090909090909
c1cccc2c3c(C)cc4ccccc4c3ccc12,0.6296296296296297
Nc1c(C)c[nH]c(=O)n1 ,0.5714285714285714
CCCCC(=O)CCCC,0.625
Nc3cc2c1ccccc1ccc2c4ccccc34 ,0.6363636363636364
Oc2ccc1ncccc1c2 ,0.6
COc2cnc1ncncc1n2,0.7586206896551724
Cc1cc2c3ccccc3ccc2c4ccccc14,0.72
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,0.7307692307692307
COc2cnc1cncnc1n2,0.7586206896551724
Cc2cnc1cncnc1n2,0.6333333333333333
Oc1cccc2cccnc12 ,0.5
Cc1c2ccccc2c(C)c3ccccc13,0.6111111111111112
c3ccc2c(O)c1ccccc1cc2c3 ,0.5454545454545454
Cc1c2ccccc2cc3ccccc13,0.6111111111111112
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,0.5142857142857142
C1Cc2cccc3cccc1c23,0.5
C1=Cc2cccc3cccc1c23,0.5294117647058824
COP(=O)(NC(C)=O)SC ,0.34782608695652173
CC(=O)N,0.5555555555555556
CC(=O)Nc1ccccc1,0.65
CC(=O)Nc1nnc(s1)S(N)(=O)=O ,0.2972972972972973
CC#N,0.36363636363636365
CC(=O)c1ccccc1,0.6666666666666666
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,0.32558139534883723
c3ccc2nc1ccccc1cc2c3,0.5833333333333334
C=CC=O,0.4444444444444444
C=CC#N,0.2857142857142857
Nc1ncnc2nc[nH]c12 ,0.5161290322580645
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,0.6829268292682927
CCc1cccc(CC)c1N(COC)C(=O)CCl ,0.675
CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,0.7777777777777778
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,0.4827586206896552
NC(=O)NC1NC(=O)NC1=O ,0.2777777777777778
C=CCS(=O)SCC=C,0.24242424242424243
O=c1[nH]cnc2[nH]ncc12 ,0.42857142857142855
O=C1NC(=O)C(=O)C(=O)N1 ,0.6923076923076923
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),0.47368421052631576
CN(C)c1nc(nc(n1)N(C)C)N(C)C,0.6470588235294118
CCNc1nc(NC(C)C)nc(SC)n1,0.75
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,0.4642857142857143
