SMILES,Actual_logS,Predicted_logS,Residual,Absolute_Error,Max_Tanimoto,Mean_Top5_Tanimoto,AD_Class
CCCCC(C)O,-0.89,-0.8002110166504275,-0.08978898334957253,0.08978898334957253,0.8125,0.7463235294117647,HIGH
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89,-6.157180994572633,-0.7328190054273671,0.7328190054273671,0.5384615384615384,0.41499338296112487,MODERATE
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53,-4.957458241836264,0.4274582418362636,0.4274582418362636,0.6153846153846154,0.4236408784902329,MODERATE
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,-3.210752918499862,-0.2092470815001377,0.2092470815001377,1.0,0.3725511988011988,LOW
Cc1ncnc2nccnc12,-0.466,-1.180873878750202,0.714873878750202,0.714873878750202,0.5357142857142857,0.3429153160521347,LOW
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,-5.67,-5.626871754255533,-0.04312824574446683,0.04312824574446683,0.45,0.40145202266953295,LOW
c2cnc1ncncc1n2,0.02,-1.4843564948301697,1.5043564948301698,1.5043564948301698,0.4666666666666667,0.37703149001536096,LOW
CCCCCCC=C,-4.44,-4.506410932412883,0.06641093241288232,0.06641093241288232,1.0,0.6986111111111111,HIGH
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09,-3.7741581163987794,0.6841581163987795,0.6841581163987795,0.7678571428571429,0.6691379310344827,HIGH
Oc1c(Cl)cc(Cl)cc1Cl,-2.34,-2.648370877333698,0.30837087733369817,0.30837087733369817,0.6666666666666666,0.5492156862745098,MODERATE
O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614,-2.1364591446282044,0.5224591446282043,0.5224591446282043,0.64,0.5936553578049685,MODERATE
COc2cnc1cncnc1n2,-0.91,-1.4972207692675341,0.5872207692675341,0.5872207692675341,0.7586206896551724,0.39093200608627104,LOW
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76,-3.9095739452616165,-0.8504260547383833,0.8504260547383833,0.42857142857142855,0.37542637080506147,LOW
Cc1ccc(Br)cc1,-3.19,-2.978836885232977,-0.21116311476702299,0.21116311476702299,0.6153846153846154,0.5350427350427351,MODERATE
CN(C)C(=O)C(c1ccccc1)c2ccccc2 ,-2.98,-3.031837466565827,0.05183746656582722,0.05183746656582722,0.4583333333333333,0.4213218390804597,LOW
CCOC(=O)c1ccc(N)cc1,-2.1,-2.6599257389981887,0.5599257389981886,0.5599257389981886,1.0,0.7553099518616759,HIGH
CCCCC=C,-3.23,-3.2559738520002326,0.02597385200023261,0.02597385200023261,0.8125,0.6299148606811146,HIGH
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,-2.9,-4.638613658934355,1.7386136589343555,1.7386136589343555,0.34375,0.3031026913338234,LOW
CCC(CC)CO,-1.17,-0.7181252646091257,-0.4518747353908742,0.4518747353908742,0.47058823529411764,0.3910407239819005,LOW
c2ccc1scnc1c2 ,-1.5,-2.0304445908697217,0.5304445908697217,0.5304445908697217,0.3793103448275862,0.3148878451139878,LOW
C1CCCCCC1,-3.51,-3.5746213722893048,0.06462137228930498,0.06462137228930498,1.0,0.7212121212121213,HIGH
CI,-1.0,-1.158773973963272,0.15877397396327209,0.15877397396327209,0.2857142857142857,0.25317460317460316,LOW
Cc1ccc(C)c2ccccc12,-4.14,-4.737727608403152,0.5977276084031526,0.5977276084031526,0.7333333333333333,0.5816228070175439,HIGH
c1(O)c(C)ccc(C(C)C)c1,-2.08,-2.3214314988281326,0.24143149882813253,0.24143149882813253,0.5,0.41296001571863644,MODERATE
c1cncnc1,1.1,0.5185243401010058,0.5814756598989943,0.5814756598989943,0.5,0.2964590964590964,LOW
CBr,-0.79,-0.5439777788939519,-0.2460222211060481,0.2460222211060481,0.2857142857142857,0.23158730158730156,LOW
CCc1ccccc1,-2.77,-2.7435756943633627,-0.026424305636637335,0.026424305636637335,0.6666666666666666,0.5802683178534571,MODERATE
Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56,-5.761197235225925,-0.7988027647740745,0.7988027647740745,0.7272727272727273,0.5840510366826155,HIGH
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596,-3.4225928541151283,0.8265928541151282,0.8265928541151282,0.30612244897959184,0.27877191527017314,LOW
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,-3.61,-4.39922211579577,0.7892221157957704,0.7892221157957704,0.3333333333333333,0.2815641067054295,LOW
CNC(=O)Oc1ccccc1C2OCCO2,-1.57,-1.8070612487309827,0.23706124873098267,0.23706124873098267,0.4878048780487805,0.46965661103979456,LOW
CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57,-2.581753164593775,0.011753164593775178,0.011753164593775178,0.6857142857142857,0.6411684566523277,MODERATE
c1ccc2c(c1)cnc3ccccc23 ,-2.78,-3.897174365651455,1.1171743656514552,1.1171743656514552,0.45454545454545453,0.4090691864885413,LOW
CCCCC(=O)OCC,-2.25,-1.6489139856272226,-0.6010860143727774,0.6010860143727774,0.85,0.761991341991342,HIGH
CCCCC(CC)CO,-2.11,-1.8953821769287476,-0.21461782307125232,0.21461782307125232,0.5,0.4085978835978836,MODERATE
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23,-7.995471641380142,-0.23452835861985832,0.23452835861985832,0.5416666666666666,0.4972964975328713,MODERATE
CC(C)CCO,-0.51,-0.22150640287899925,-0.28849359712100076,0.28849359712100076,0.625,0.4717760180995475,MODERATE
Cc1cc(C)cc(O)c1,-1.4,-1.1967373013663738,-0.20326269863362612,0.20326269863362612,0.6153846153846154,0.4675213675213675,MODERATE
ClCC(C)C,-2.0,-1.970583817447586,-0.02941618255241396,0.02941618255241396,0.5833333333333334,0.43606060606060615,MODERATE
C=CCC=C,-2.09,-2.0853070545544337,-0.004692945445566199,0.004692945445566199,0.45454545454545453,0.3673083778966132,LOW
CCCCCOC(=O)C,-1.89,-1.1723584041538513,-0.7176415958461486,0.7176415958461486,0.6666666666666666,0.5551075268817204,MODERATE
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9,-6.99582847658275,0.09582847658274929,0.09582847658274929,1.0,0.5460224089635854,HIGH
C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15,-1.5244464255173784,-0.6255535744826215,0.6255535744826215,0.2765957446808511,0.2502040594221037,LOW
ClCCCl,-1.06,-1.0406614040078437,-0.01933859599215637,0.01933859599215637,0.5,0.44273504273504277,MODERATE
